state_name,year,Total_Exp,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Total_Households_Worked,Total_Individuals_Worked,Average_days_of_employment_provided_per_Household,Persondays_of_Central_Liability_so_far,SC_persondays,ST_persondays,Women_Persondays,Differently_abled_persons_worked,Material_and_skilled_Wages,Wages,Total_Adm_Expenditure,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,percentage_payments_generated_within_15_days,Number_of_Completed_Works,Number_of_Ongoing_Works,Total_No_of_JobCards_issued,Total_No_of_Works_Takenup
ANDHRA PRADESH,2019,269896.76269,60194937.0,221.99808266666665,2136904,3413828,52.166666666666664,112551830,11729300,13671773,72186920,63547,9527.25146,249852.52772,10516.98351,114682,99.94,89641,376350,3130308,465991
ANDHRA PRADESH,2020,6433028.05205,959523120.5,227.99818136041665,34722067,57712188,48.041666666666664,1704453407,381743424,200837380,963109292,667672,2366712.14449,3901832.27318,164483.63435,3409022,99.94,3544048,7462205,70590579,11006253
ANDHRA PRADESH,2021,2811465.66011,501624475.0,226.39598898399998,16657555,27087934,50.66,852957915,200553364,102302366,481611210,319717,838452.490927,1928722.42272,44290.74646,1756116,99.9426,1333273,3359773,38455150,4693046
ANDHRA PRADESH,2022,1667720.1602,407076456.0,231.47725105633805,9779102,15859976,41.08450704225352,414508896,108145530,81325867,233351135,161158,648875.585201,959594.324955,59250.25001,184595,99.94,581102,3063637,16701485,3644739
ANDHRA PRADESH,2023,7328078.314941,1881673699.0,244.57800048807692,44196888,70994992,46.238461538461536,2112636452,484064889,228063043,1272028372,763984,1944127.9068191,5168272.270729,215678.13743,2591454,99.97288461538461,4016366,8725634,68090204,12742000
ANDHRA PRADESH,2024,159300234.809642,38833475071.0,260.2660540620452,1116239562,1749297257,38.87803197353914,46370251468,10157938940,5922392992,27908823401,18657026,34298693.5848466,119675169.875715,5326371.34921,44035018,99.97302094818082,54020916,238053011,1893221132,292073927
ASSAM,2018,21368.3868048,12156981.0,243.9302131111111,277491,429770,17.333333333333332,5364975,119468,98990,1992611,1922,7963.1343412,13286.227234,119.02523000000001,70,99.94,4700,82413,1873983,87113
ASSAM,2019,838.2115802999999,327604.0,252.5210229,26649,38597,11.0,326584,17328,11170,123899,124,19.77202325,818.439557,0.0,0,99.94,1153,13979,473245,15132
ASSAM,2020,6.047000000000001,2420.0,250.7842584,462,588,4.5,2414,128,46,1029,5,0.0,6.047000000000001,0.0,0,100.0,26,19461,398604,19487
ASSAM,2021,70588.659622,27285376.0,238.00816075333333,1158064,1661704,21.8,27817089,586105,2132475,11917245,2320,3671.02325724,66500.756368,416.88,880,99.92666666666668,21872,427494,4587523,449366
